name,occupation,dod
Giandomenico Iannucci,Medico di medicina generale, † 02 04 2020
Ghvont Mrad,Medico termale, † 29 03 2020
Gianbattista Bertolasi,Medico di medicina generale, † 02 04 2020
Silvio Lussana,"Medico internista, ex primario medicina", † 13 03 2020
Giuseppe Aldo Spinazzola,"Cardiologo in pensione, contagiato durante una visita occasionale", † 31 03 2020
Vincenzo Emmi,"Rianimatore, in pensione", † 04 04 2020
Carlo Amodio,"Radiologo, ex primario di radiologia", † 05 04 2020
Adelina Alvino De Martino,"Cardiologa in pensione, ex primario", † 30 03 2020
Orlandini Giancarlo,, † 06 04 2020 (data segnalazione)*
Ravasio Luigi,, † 06 04 2020 (data segnalazione)*
Antonio Pouchè,Ex professore, † 31 03 2020*
Lorenzo Vella,Medico del Lavoro, † 29 03 2020
Salvatore Ingiulla ,Medico penitenziario,† 06 04 2020
Mario Ronchi,Odontoiatra, † 20 03 2020
Giuseppe Vasta,Medico di medicina generale, † 06 04 2020
Nabeel Khair,Medico di medicina generale, † 08 04 2020
Marzio Carlo Zennaro ,Medico di medicina generale,† 08 04 2020
Tahsin Khrisat,"Medico di medicina generale, in pensione", † 19 03 2020
Mario Rossi,Medico di medicina generale, † 09 04 2020 (data segnalazione)*
Samar Sinjab,Medico di medicina generale, † 09 04 2020
Antonio De Pisapia,Medico di medicina generale e odontoiatra, † 06 04 2020
Massimo Bosio,Medico di medicina generale, † 01 04 2020
Francesco Cortesi,Specialista in Chirurgia generale e Oncologia, † 09 04 2020 (data segnalazione)*
Giunio Matarazzo,Odontoiatra, † 07 04 2020
Emilio Brignole,Medico ospedaliero, † 09 04 2020
Edoardo Valli,Ginecologo, † 09 04 2020
Nabil Chrabie,Medico di medicina generale, † 09 04 2020
Gianfranco D’Ambrosio,Ginecologo e medico di medicina generale, † 30 03 2020
Gaetano,"Specialista in Chirurgia Generale, in Chirurgia Vascolare e in Chirurgia Toracica, ex Primario di Chirurgia Generale", † 08/04/2020
Fabio Rubino ,Terapista del dolore e palliativista,† 12 04 2020
Giovanni Stagnati,Odontoiatra, † 22 03 2020
Giovanni Delnevo,"Cardiologo in pensione, ma continuava a esercitare la professione medica come libero-professionista", † 02 04 2020
Luigi Ciriotti,"Medico di medicina generale in pensione, non in servizio", † 26 03 2020
Sebastiano Carbè ,"Medico pensionato non in servizio, ex dirigente medico pronto soccorso",† 06 04 2020
Maurizio Bertaccini,Medico di medicina generale, † 14 04 2020
Domenico Fatica,Odontoiatria, † 13 04 2020
Patrizia Longo,Medico di medicina generale, † 13 04 2020
Enrico Boggio,Odontoiatra, † 07 04 2020
Eugenio Malachia Brianza,Medico del Serd, † 08 04 2020
Elisabetta Mangiarini,Medico di medicina generale, † 15 04 2020 (data segnalazione)*
Marco Spissu,Medico chirurgo, † 15 04 2020
Arrigo Moglia,Neurologo, † 15 04 2020
Alberto Guidetti,"Ginecologo, ex primario", † 15 04 2020
Alberto Omo ,Direttore sanitario casa di riposo,† 04 04 2020
Giancarlo Buccheri ,Medico antroposofo,† 07 aprile 2020
Pietro Bellini,Medico di medicina generale, † 21 03 2020
Renzo Mattei,Medico in pensione, † 16 04 2020 (data segnalazione)*
Eugenio Inglese,Ex primario di Medicina nucleare, † 21 03 2020
Vincenzo Frontera,Medico di medicina generale, † 17 04 2020
Elfidio Ennio Calchi,Medico chirurgo, † 09 04 2020
Carmine Sommese,Medico ospedaliero, † 17 04 2020
Carmela Laino ,"Medico specialista in pediatria e stomatologia, in pensione",† 25 03 2020
Nicola Cocucci,"Medico specialista in odontoiatria e medicina legale, in pensione", † 08 04 2020
Alessandro Preda,Medico di medicina generale, † 22 03 2020
Italo D’Avossa,Virologo e immunologo, † 18 03 2020
Renato Pavero,Medico del 118, † 19 04 2020 
Antonio Lerose ,Otorinolaringoiatra,† 20 04 2020 (data segnalazione)*
Andrea Farioli,Medico epidemiologo impegnato nella ricerca su Covid-19 (ancora da accertare se le cause del decesso siano da ricondursi a Covid-19), † 16 04 2020
Luciano Abruzzi ,Neurologo,† 20 04 2020
Silvio Marsili,"Pediatra, in pensione", † 21 04 2020 (data segnalazione)*
Oscar Ros ,Specialista in igiene e medicina preventiva,† 20 04 2020
Manuel Efrain Perez,Medico di medicina generale e medico della continuità assistenziale, † 20 04 2020
Alberto Santoro,Medico di medicina generale, † 19 04 2020
Pasqualino Gerardo Andreacchio ,"Chirurgo specializzato in urologia, in pensione",† 20 04 2020
Maddalena Passera,Anestesista, † 22 04 2020 (data segnalazione)*
Carlo Vergani,Geriatra in pensione iscritto all’OMCeO, † 22 04 2020
Tommaso Di Loreto,Odontoiatra, † 13 04 2020
S. F.,Geriatra, † 22 04 2020
Guido Retta,"Primario emerito, ortopedico, consulente tribunale, in pensione", † 14 04 2020
Gianbattista Perego,Medico di medicina generale, † 23 04 2020
Maura Romani,Medico ospedaliero, † 26 04 2020
Luigi Macori,Ematologo, † 27 04 2020
Ermenegildo Santangelo,"Ex Professore Ordinario di Anestesiologia e Rianimazione, in pensione", † 12 04 2020
Raffaele Pempinello,"Infettivologo, epatologo, internista ed igienista, componente del Consiglio direttivo della Società scientifica italiana di malattie infettive, primario emerito. In pensione, ma tornato a esercitare per l’emergenza Covid-19",† 29 04 2020
Oscar Giudice ,Medico e dirigente sanitario in RSA,† 07 05 2020
Alberto Pollini,Anestesista e pneumologo, † 08 05 2020
Guglielmo Colabattista,"Medico ospedaliero, in pensione", † 25 03 2020
Alfredo Franco,Medico legale, † 09 05 2020
Angelo Gnudi ,"Ex ordinario di endocrinologia, in pensione",† 17 04 2020
Marta Ferrari ,Medico del lavoro,† 05 05 2020
Antonio Costantini,Neurologo, † 08 05 2020
Davide Cordero,Anestesista, † 12 05 2020
Luigi Paleari ,"Ex primario di Anestesia e Rianimazione ed ex coordinatore sanitario dell’allora USSL, in pensione",† 23 03 2020
Leonardo Panini,Medico di medicina generale, † 21 05 2020
Cesare Landucci ,"Medico internista in pensione, ma continuava a esercitare la professione come libero professionista",† 26 05 2020
Ugo Milanese ,"Cardiologo in pensione, ma continuava a esercitare la professione come libero professionista",† 02 05 2020
Roberto Zama ,"Urologo in pensione, ma continuava a esercitare la professione come libero professionista",† 12 04 2020
Vincenzo Saponaro ,Medico di medicina generale,† 10 04 2020
Jesus Gregorio Ponce,"Medico di medicina generale in pensione, ma continuava a esercitare la professione medica come libero professionista", † 29 05 2020
Paolo Paoluzi,"Gastroenterologo ed endoscopista, in pensione", † 26 04 2020
Fiorlorenzo Azzola,Medico e direttore sanitario RSA, † 27 06 2020
Josef Leitner,"Medico di medicina generale, in pensione", † 12 04 2020
Gianfranco Conti,Medico di medicina generale, † 15 05 2020*
Pierluigi Cecchi,Medico pediatra, † 16 07 2020
Davoud Ahangari ,Medico di medicina generale,† 25 07 2020
Nello Di Spigno,Medico anestesista rianimatore, † 23 07 2020
Paolo Marandola,"Urologo, lavorava in Zambia per studiare Covid-19", † 01.08.2020
Luigi Erli,"Neurologo, in pensione", † 08 05 2020
Salvatore Arena,Endocrinologo, † 20 07 2020
Giuseppe Ascione,Anestesista, † 01 10 2020
Ernesto Celentano,Medico di medicina generale, † 18 10 2020
Giovanni Briglia,Otorinolaringoiatra, † 14 10 2020
Mirko Ragazzon ,Medico di medicina generale,† 24 10 2020
Paolo Melenchi ,Oculista,† 01 11 2020
Vittorio Collesano,Odontoiatra e professore universitario, † 31 10 2020
Alberto Gazzera ,"Medico di medicina generale, in pensione",† 30 10 2020
Domenico Pacilio,Medico di medicina generale, † 10 11 2020
Giorgio Drago,"Medico di medicina generale, in pensione ma ancora attivo come libero professionista", † 10 11 2020
Luigi Picardi,Pediatra, † 13 11 2020
Annibale Battaglia,Medico di medicina generale, † 13 11 2020
Giuseppe Sessa,Anestesista, † 14 11 2020
Massimo Ugolini,Fisiatra, † 16 11 2020
Marco Pugliese ,Pediatra,† 16 11 2020
Antonio Casillo,Chirurgo e medico di pneumatologia, † 15 11 2020
Augusto Vincelli,Medico di medicina generale, † 16 11 2020
Maria Addolorata Mangione,Geriatra e bioeticista, † 11 11 2020
Pierantonio Meroni,"Ginecologo, in pensione ma attivo come volontario", † 17 11 2020
Luciano Bellan,Medico di medicina generale, † 18 11 2020
Mauro Cotillo,Odontoiatra, † 19 11 2020 (data segnalazione)
Giovanni Bissanti,Medico di continuità assistenziale, † 19 11 2020 (data segnalazione)
Antonio Antonelli,"Diabetologo, in pensione", † 19 11 2020
Alessandro Fiori,Medico di medicina generale, † 19 11 2020
Edgardo Milano,Medico di medicina generale, † 19 11 2020
Stefano Brando,Medico di medicina generale, † 20 11 2020
Antonio Contini,"Medico di medicina generale e pneumologo, in pensione ma ancora in attività come volontario", † 16 11 2020
Giovanni Annaratone,Ortopedico, † 15 11 2020
Luigi Pappalardo,Diabetologo, † 21 11 2020
Raffaele De Iasio,Medico legale, † 21 11 2020
Luigi Cova ,"Dermatologo, in pensione",† 21 11 2020
Gian Franco Forzani,Cardiologo, † 20 11 2020
Carmelo Piscitello,Ortopedico, † 23 11 2020
Piero Parietti,"Medico di medicina generale, esercitava come libero professionista di psichiatria", † 22 11 2020
Cosimo Russo,Ortopedico, † 23 11 2020
Roberto Ciafrone ,Medico di medicina generale,† 23 11 2020
Antonio Amente,Medico di medicina generale, † 23 11 2020
Daniele Cagnacci,Medico di medicina generale, † 23 11 2020
Luciano Giorgi,Psichiatra, † 26 11 2020
Michele Urbano,Direttore sanitario, † 27 11 2020
Nazzareno Catalano,Medico di medicina generale, † 27 11 2020
Bartolomeo Borgialli ,"Medico di medicina generale, in pensione",† 29 11 2020
Vito Roberto De Giorgi,"Anestesista, in pensione", † 27 11 2020
Lucia Prezioso,"Medico di medicina generale, in pensione", † 23 11 2020
Paola De Masi,"Anestesista, in pensione", † 30 11 2020
Carla Verri Girardi,"Medico di medicina generale, in pensione da tempo", † 24 11 2020
Modesto Iannattone,Dirigente Medico ASL, † 02 12 2020
Gianluigi Rocco,Psichiatra, † 03 12 2020
Luciano Paolucci,Otorinolaringoiatra, † 02 12 2020
Natale Mariani ,Medico di medicina generale,† 03 12 2020
Stefano Gandini,"Medico di medicina generale, in pensione ma continuava a esercitare la professione come libero professionista", † 04 12 2020
Mario Claudio Magliocca,Specialista in Malattie infettive, † 03 12 2020
Giuseppe Grosso,Medico ASL responsabile medicina specialistica e protesica, † 06 12 2020
Michele Cicchelli,Pediatra, † 06 12 2020
Kassem El Malak,Odontoiatra, † 23 11 2020
Giuseppe Miceli,Medico di medicina generale, † 08 12 2020
Sergio Pascale,Primario di rianimazione, † 07 12 2020
Giuseppe Minchiotti,Medico di medicina generale, † 07 12 2020
Francesco Antonio Barillà,Medico di medicina generale, † 08 12 2020
Antonio Pugliese,Medico dell’ufficio vaccinazioni, † 08 12 2020
Pier Luigi Crivelli,Anestesista, † 19 11 2020
Roberto Governi ,Odontoiatra,† 11 10 2020
Roberto Di Fortunato ,Oculista,† 25 11 2020
Claudio Noacco,"Diabetologo, in pensione", † 08 12 2020
Pier Luigi Bettinelli ,"Già medico ospedaliero, in pensione ma attivo come libero professionista",05 12 2020
Francesco Vista,Medico di medicina generale, † 04 12 2020
Matteo Rinaldi,"Medico di medicina generale e geriatra, in pensione ma tornato esercitare per l’emergenza Covid", † 15 11 2020
Roberto Zambonin,Odontoiatra, † 10 12 2020
Mohammad Alì Zaraket,Medico di medicina generale e odontoiatra,  † 02 12 2020
Roberto Ronci,Medico di medicina generale, † 09 12 2020
Domenico Mele,"Anestesista, ex primario di anestesia e rianimazione", † 10 12 2020 (data segnalazione)
Francesco Gasparini,"Anestesista, in pensione ma rientrato in servizio per l’emergenza Covid-19", † 11 12 2020
Flavio Bison,Medico di medicina generale, † 10 12 2020
Gianpaolo Pellicciari,Medico di medicina generale,  † 04 12 2020
Paolo Duso,Odontoiatra, † 09 12 2020
Valter Adamo ,"Ex primario di ginecologia e ostetricia, in pensione",† 10 12 2020
Daniele Rizzi,Medico di medicina generale, † 06 12 2020
Giovanni Alberto Piscitelli,Medico di medicina generale, † 11 12 2020
Antonino Cataldo,Medico di medicina generale, † 11 12 2020
Giovanni Ferraro,Medico di medicina generale, † 12 12 2020
Wilmer Boscolo,Medico di medicina generale, † 15 12 2020
Armando Cesari,Pediatra, † 05 12 2020
Sergio Saccà,Oculista, † 15 12 2020
Giovanni Battista Meloni,Radiologo, † 16 12 2020
Giulio De Luca,Medico di medicina generale, † 24 10 2020
Bruno Castagneto,Oncologo, † 21 12 2020
Mario Avano,Medico di medicina generale ed endocrinologo, † 21 12 2020
Filippo Fard ,Medico di medicina generale del 118,† 22 12 2020
Mario Della Calce,Medico di medicina generale e gastroenterologo, † 22 12 2020
Ezio Santilli,"Pediatra ospedaliero, da poco in pensione", † 22 12 2020
Roberto Trezzi,Medico di medicina generale, † 23 12 2020
Giuseppe Galvagno ,Medico di medicina generale,† 23 12 2020
Raffaele Antonio Brancadoro ,"Medico ospedaliero, in pensione",† 27 12 2020
Leonardo Nargi ,Ginecologo,† 22 12 2020
Stefano Simpatico,Neurochirurgo, † 09 12 2020
Walter Fioravanti,Oculista, † 02 12 2020
Maurizio Abatini ,Medico di medicina generale e odontoiatra,† 19 10 2020
Enrico Pansini ,Medico di medicina generale e cardiologo,† 01 01 2021
Gilberto Forioli,Medico di medicina generale e specialista in oftalmologia, † 01 01 2021
Maurizio Gasparini ,Internista in pensione ora attivo come Odontoiatra,† 02 01 2021
Vincenzo Scarabeo ,Fisiatra,† 02 01 2021
Eduardo Ferri ,Direttore Dipartimento di Salute mentale e Dipendenze patologiche ASL,† 04 01 2021
Mah’d Abu Eisheh ,Medico di medicina generale,† 04 01 2021
Gennaro Paradiso,Medico di medicina generale, † 21 12 2020
Giovanni Canavero,Medico di medicina generale e specialista in Malattie Infettive, † 04 01 2021
Gian Marco Mosele,Cardiologo, † 09 01 2021
Fabrizio Soccorsi,Ex primario di Epatologia, † 09 01 2021
Carlo Cristini,Professore di psicologia dinamica, † 10 12 2020
Luca Parolari,Ginecologo e odontoiatra, † 07 01 2021
Peppino Griffi,"Medico di medicina generale e specialista in pediatria, in pensione", † 14 07 2020
Kassem Mohamad Haouila ,"Medico di medicina generale, da poco in pensione",† 07 01 2021
Costantino Ciavarella,Medico di medicina generale, † 15 01 2021
Giuseppe De Vita,Medico del 118 e Odontoiatra, † 15 01 2021
Aldo Bacci,"Gastroenterologo, in pensione", † 15 01 2021
Aldo Zaffora,"Medico ospedaliero, specialista Reumatologo", † 09 11 2020
Riccardo Biagioli,Dirigente Medico Legale USL, † 14 12 2020
Catino Mormina,Medico di Emergenza Sanitaria Territoriale 118, † 26 11 2020
Federico Marzocchi ,Medico in pensione,† 16 11 2020
Leonardo Tarallo,Medico di medicina generale, † 16 01 2021
Giuseppe Tortorella,"Pediatra di famiglia e specialista in malattie infettive, in pensione", † 08 01 2021
Agostino Consolaro,"Medico in pensione, continuava la sua attività per i bisognosi", † 07 12 2020
Bartolo Tarsia,Medico di medicina generale, † 22 01 2021
Salvatore Romano,"Medico di medicina generale, in pensione ma ancora in attività", † 07 12 2020
Giuseppe Lauriola,Odontoiatra, † 20 12 2020
Antonino Iabichino ,Dermatologo,† 27 01 2021
Leonardo Scalia,Medico e science writer, † 28 01 2021
Antonio Luigi Cafagna,"Ginecologo, in pensione", † 31 01 2021
Maria Giuseppa Giammalva,Medico di medicina generale, † 03 02 2021
