name,age,occupation,location,country,lat,lng,dod,source
Alonso Adrianza,60,Doctor,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
José Adum Salcedo,NA,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
José Agapito Montero,63,Nurse,Ciudad Real,Spain,38.9848295,-3.927377799999999,NA,medscape
Ajit Agarwal,68,Doctor,NA,United Kingdom,55.378051,-3.435973,NA,medscape
Jael Edmark Agravante,NA,Other,NA,Philippines,12.879721,121.774017,NA,medscape
"Romeo ""Romy"" Agtarap",63,Doctor,New York,United States,40.7099166,-74.004758,NA,medscape
Adrián Guadalupe Rocha Aguilar,NA,Doctor,Navojoa,Mexico,27.0727573,-109.4437493,NA,medscape
Guillermo Aguilar,NA,Doctor,San Miguelito,Panama,9.0485176,-79.5082571,NA,medscape
Uriel Aguilar Carrillo,30,Doctor,Colima,Mexico,19.2452342,-103.7240868,NA,medscape
Jose Aguilar Palma,NA,Doctor,Coatzacoalcos,Mexico,18.1344779,-94.4589858,NA,medscape
Juan Antonio Aguilar Peralta,32,Other,Hidalgo,Mexico,20.0910963,-98.7623874,NA,medscape
Eder Eli Aguilar Rojas,NA,Doctor,Iquitos,Peru,-3.7436735,-73.25163260000001,NA,medscape
Daniel Aguirre,NA,Nurse,Villa Lynch,Argentina,-34.587664,-58.5320001,NA,medscape
José Aguirre,56,Nurse,Buenos Aires,Argentina,-34.6036844,-58.3815591,NA,medscape
Amalia Magdalena Aguirre Álvarez,55,Doctor,Nuevo Leon,Mexico,25.592172,-99.99619469999999,NA,medscape
Francisco Vianey Aguirre Anaya,NA,Other Medical,Sinaloa de Leyva,Mexico,25.8226854,-108.2216704,NA,medscape
Duval Remigio Aguirre Guzmán,60,Doctor,Arica,Chile,-18.4782534,-70.3125988,NA,medscape
Nabil Ahmed,NA,Other,Aden,Yemen,12.7854969,45.0186548,NA,medscape
Jahan Iqbal Ahmed,56,Doctor,Guwahati,India,26.1445169,91.7362365,NA,medscape
Noman Ahmed,32,Other,Karachi,Pakistan,24.8607343,67.0011364,NA,medscape
Abdelmajid Ben Aicha,60,Doctor,Mulhouse,France,47.750839,7.335888,NA,medscape
Felicia Ailende,67,Nurse,Chicago,United States,41.8781136,-87.6297982,NA,medscape
Nancy Ajemian,60,Doctor,Grosse Pointe,United States,42.3861485,-82.9118591,NA,medscape
Agary Akaekpuchionwa,NA,Other,Ottawa,Canada,45.4215296,-75.69719309999999,NA,medscape
Dilek Akcabelen,30,Nurse,İstanbul,Turkey,41.0082376,28.9783589,NA,medscape
Naeem Akhtar,NA,Doctor,Gujranwala,Pakistan,32.1876919,74.1944529,NA,medscape
Fevzi Aksoy,90,Retired,İstanbul,Turkey,41.0082376,28.9783589,NA,medscape
Quen Agbor Ako,53,Nurse,Randallstown,United States,39.3673278,-76.79525249999999,NA,medscape
Jose Inés Alcántara Jimenez,NA,Doctor,Guerrero,Mexico,17.4391926,-99.54509739999999,NA,medscape
Mir Mahbubul Alam,72,Retired,Sylhet,Bangladesh,24.8949294,91.8687063,NA,medscape
Ahmed Al-Annie,NA,Doctor,Banha,Egypt,30.4659929,31.1848307,NA,medscape
Janet Daywan Alano,NA,Nurse,Abu Dhabi,United Arab Emirates,24.453884,54.3773438,NA,medscape
Neil Alarcón Quispe,34,Doctor,Pucallpa,Peru,-8.3928622,-74.5826166,NA,medscape
Marino Alarcon Solano,69,Doctor,Trujillo,Peru,-8.106042799999999,-79.0329727,NA,medscape
Maysour Albaalbaki,74,Doctor,Tehran,Iran,35.6891975,51.3889736,NA,medscape
Khudair Zughair Al-Badri,57,Other,Baghdad,Iraq,33.315241,44.3660671,NA,medscape
Reinaldo Albernás,54,Doctor,Alajuela,Costa Rica,10.0159394,-84.21417009999999,NA,medscape
Gary Alberto,NA,Nurse,Andover,United States,40.98593109999999,-74.74210889999999,NA,medscape
Oswaldo Albornoz Saiman,64,Doctor,Bolívar,Venezuela,6.3585216,-63.580611,NA,medscape
Paul Alloun,61,Doctor,La Courneuve,France,48.9320252,2.3990819,NA,medscape
Luis Alberto Almaraz,49,Nurse,Buenos Aires,Argentina,-34.6036844,-58.3815591,NA,medscape
Héctor Segundo Almarza Pérez,64,Doctor,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
Mónica Albornoz,56,Nurse,General Pacheco,Argentina,-34.4529709,-58.64298660000001,NA,medscape
Ricardo A. Alcivar Zambrano,67,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Saleh Al-Daoudi,NA,Unknown,NA,Yemen,15.552727,48.516388,NA,medscape
Elena Beth Alejandre,68,Nurse,Hanover,United States,40.8257746,-74.41738769999999,NA,medscape
Coppa Alejandro,61,Doctor,Cosquín,Argentina,-31.2468127,-64.4703813,NA,medscape
Juan Alejandro González,58,Doctor,Sonora,Mexico,29.2972247,-110.3308814,NA,medscape
Muhammad Al-Faki,NA,Doctor,Riyadh,Saudi Arabia,24.7135517,46.6752957,NA,medscape
Jerry Alford,60,Doctor,Northport,United States,33.229007,-87.5772293,NA,medscape
Samira Al Hammadi,NA,Doctor,Aden,Yemen,12.7854969,45.0186548,NA,medscape
Mahmoud Mahmoud Alhendawi,NA,Doctor,Sohag Governorate,Egypt,26.693834,32.174605,NA,medscape
Seyyed Al-Hosseini,NA,Other,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Khaled Abdullah al-Husseini,43,Nurse,Mecca,Saudi Arabia,21.3890824,39.8579118,NA,medscape
Abdo Ali,NA,Other Medical,Sana'a,Yemen,15.3694451,44.1910066,NA,medscape
Aref Ahmed Ali,NA,Doctor,Aden,Yemen,12.7854969,45.0186548,NA,medscape
Niaz Ali,71,Doctor,Red Bank,United States,40.3470543,-74.0643065,NA,medscape
Rahel Omed Hama Ali,38,Other,Kurdistan region,Iraq,36.4103395,44.38719529999999,NA,medscape
Shaukat Ali,45,Doctor,Mumbai,India,19.1874459,72.8483689,NA,medscape
Tamajin Ali,49,Nurse,Philadelphia,United States,39.9525839,-75.1652215,NA,medscape
Hadio Ali K,49,Doctor,Jakarta,Indonesia,-6.2087634,106.84559900000001,NA,medscape
Adriana Alia Gómez,NA,Other Medical,Madrid,Spain,40.4167754,-3.7037902,NA,medscape
Adan Augusto Alibso,61,Doctor,León,Nicaragua,12.4342803,-86.88052189999999,NA,medscape
Lori Alioa,56,Other Medical,Ann Arbor,United States,42.2808256,-83.7430378,NA,medscape
Narjes Khan Alizadeh,25,Nurse,NA,Iran,32.427908,53.688046,NA,medscape
Nujood al-Khaibari,45,Nurse,Medina,Saudi Arabia,24.5246542,39.5691841,NA,medscape
Ahmed Al-Louah,NA,Other,Sidi M'Hamed,Algeria,36.753768,3.0587561,NA,medscape
Mohammad Al-Mansour,NA,Doctor,Sana'a,Yemen,15.3694451,44.1910066,NA,medscape
Fausto Almaguer,50,Other Medical,Tamaulipas,Mexico,24.26694,-98.8362755,NA,medscape
Carlos Alberto Amarilla,59,Other,Buenos Aires,Argentina,-34.6037618,-58.38171499999999,NA,medscape
Carlos Alberto Amaya,NA,Doctor,San Salvador,El Salvador,13.6929403,-89.2181911,NA,medscape
Raúl Alfonso Amaya Cruz,NA,Doctor,Coahuila,Mexico,27.058676,-101.7068294,NA,medscape
Ahmed Al-Muayyad,NA,Doctor,Sana'a,Yemen,15.3694451,44.1910066,NA,medscape
Abdel Fattah Al-Muzahmi,NA,Unknown,NA,Yemen,15.552727,48.516388,NA,medscape
Máximo Guillermo Alonso Flores,63,Doctor,León,Nicaragua,12.4342803,-86.88052189999999,NA,medscape
Mohammad Al-Qal'a,NA,Doctor,Aden,Yemen,12.7854969,45.0186548,NA,medscape
Munir Al-Quaish,NA,Other,Sana'a,Yemen,15.3694451,44.1910066,NA,medscape
Hesham Al-Saket,56,Doctor,Cairo,Egypt,30.0444196,31.2357116,NA,medscape
Adel Al-Sarari,NA,Doctor,Aden,Yemen,12.7854969,45.0186548,NA,medscape
Fouad Al-Shaghadari,NA,Doctor,NA,Yemen,15.552727,48.516388,NA,medscape
Hussam Aied Alsherif,NA,Nurse,Babylon Governorate,Iraq,32.468191,44.5501935,NA,medscape
Carolina Janeth Alvarado de Flores,NA,Nurse,La Union,El Salvador,13.3323464,-87.8500644,NA,medscape
Elizabeth Alvarado López,NA,Other,Baja California Sur,Mexico,26.0444446,-111.6660725,NA,medscape
Oziel Enrique Alvarado López,NA,Doctor,Guatemala City,Guatemala,14.6349149,-90.5068824,NA,medscape
Héctor Alvarado Moreno,NA,Doctor,Puebla,Mexico,19.0414398,-98.2062727,NA,medscape
Hector Alvarez,NA,Doctor,Quezon City,Philippines,14.7214015,121.0521411,NA,medscape
"Dolores ""Lolita"" Álvarez Blanco",NA,Nurse,Sonora,Mexico,29.2972247,-110.3308814,NA,medscape
Antero Edmundo Alvites,60,Doctor,Rosario,Argentina,-32.9587022,-60.69304159999999,NA,medscape
Gazi Turki Al-Zaidi,52,Other,Baghdad,Iraq,33.315241,44.3660671,NA,medscape
Ángel Ruben Alzurutt Riera,NA,Doctor,Guayana City,Venezuela,8.3663119,-62.6496813,NA,medscape
Amable Amado Rodríguez,87,Doctor,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
Fátima Lucía Amaya,NA,Nurse,San Miguel,El Salvador,13.4739686,-88.19101839999999,NA,medscape
María Elisa Amaya Cruz,44,Doctor,Coahuila,Mexico,27.058676,-101.7068294,NA,medscape
Jesús María Amenábar,64,Doctor,San Miguel de Tucumán,Argentina,-26.8082848,-65.2175903,NA,medscape
Afshar Amiri,NA,Doctor,Tehran,Iran,35.6891975,51.3889736,NA,medscape
Abdulshakur Hazhir Amiri,NA,Other Medical,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Ruimy Amran,NA,Doctor,Casablanca,Morocco,33.5731104,-7.589843399999999,NA,medscape
Wanda Amsbaugh,72,Other Medical,Santee,United States,33.4751634,-80.4864764,NA,medscape
Gerardo Amuchástegui,65,Other,Cordoba,Argentina,-31.4354727,-64.2009018,NA,medscape
"Adharul Anam, S.Kep",25,Nurse,Jakarta,Indonesia,-6.2087634,106.84559900000001,NA,medscape
Roberto V. Anastacio,79,Doctor,Makati,Philippines,14.554729,121.0244452,NA,medscape
Francisco Eduardo Anaya,42,Other Medical,Bogota,Colombia,4.710988599999999,-74.072092,NA,medscape
Octavio Ernesto Anchundia Rojas,NA,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Larrice Anderson,46,Nurse,New Orleans,United States,29.95106579999999,-90.0715323,NA,medscape
Jenniffer Anderson-Davis,44,Nurse,Ballwin,United States,38.5950532,-90.54623389999999,NA,medscape
Fidelia Odette Andonie,56,Doctor,Tegucigalpa,Honduras,14.065049,-87.1715002,NA,medscape
Dimitar Andonov,NA,Doctor,Petrich,Bulgaria,41.39810809999999,23.2066849,NA,medscape
Daniel Andrada,NA,Unknown,José C. Paz,Argentina,-34.5151052,-58.7662461,NA,medscape
Amadeo Gualberto Andriuoli Jaramillo,NA,Doctor,Babahoyo,Ecuador,-1.801926,-79.5346459,NA,medscape
Carlos Anes,NA,Doctor,Nueva Esparta,Venezuela,10.9970723,-63.91132959999999,NA,medscape
Gustavo Ángeles Moreno,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Juan Anguiano Pérez,NA,Doctor,Michoacán,Mexico,19.5665192,-101.7068294,NA,medscape
Roberto Angulo Arévalo,NA,Doctor,Atlantico,Colombia,10.6966159,-74.8741045,NA,medscape
Wenceslao Miguel Aniceto Gómez,NA,Doctor,Sinaloa de Leyva,Mexico,25.8226854,-108.2216704,NA,medscape
Mohamed Antar,36,Doctor,Faiyum,Egypt,29.3084021,30.8428497,NA,medscape
Jessi Paul Antonio Neri,27,Doctor,Morelos,Mexico,18.6813049,-99.1013498,NA,medscape
Ramon César Aparicio Osorio,NA,Doctor,State of Mexico,Mexico,19.4968732,-99.72326729999999,NA,medscape
Erick Remberto Aparicio Rivera,NA,Doctor,San Miguel,El Salvador,13.4792922,-88.1779182,NA,medscape
Alex Aquino,NA,Nurse,Loma Hermosa,Argentina,-34.5697339,-58.60423979999999,NA,medscape
Arlene Aquino,44,Nurse,Los Angeles,United States,34.227617,-118.442425,NA,medscape
Carlos de Aragón Amunárriz,65,Doctor,Toledo,Spain,39.8628316,-4.027323099999999,NA,medscape
Carlos Issac Aragón Jiménez,NA,Doctor,Tamaulipas,Mexico,24.26694,-98.8362755,NA,medscape
Jose Angel Aragon Rodriguez,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Carlos Araujo-Preza,51,Doctor,Tomball,United States,30.0971621,-95.6160549,NA,medscape
Hassan Arbab,NA,Other,Mashhad,Iran,36.2604623,59.6167549,NA,medscape
Sonia Abdel-Azim Aref,64,Other Medical,NA,Egypt,26.820553,30.802498,NA,medscape
Pedro Abel Arellano Coello,NA,Doctor,NA,Peru,-9.189967,-75.015152,NA,medscape
Araceli Arellano Rodríguez,60,Other,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Heriberto Arenas Solís,32,Nurse,Ciudad López Mateos,Mexico,19.5562275,-99.2674713,NA,medscape
Raul Argumedo-Castillo,NA,Doctor,Iquitos,Peru,-3.7436735,-73.25163260000001,NA,medscape
Margarita Arias,NA,Nurse,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Eduardo Arias Ayala,54,Doctor,San José,Costa Rica,9.9280694,-84.0907246,NA,medscape
Vicente Xavier Arias Paredes,NA,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Aldo Israel Arias Rodríguez,36,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Jorge Manuel Arjona Conrado,NA,Doctor,Campeche,Mexico,19.8301251,-90.5349087,NA,medscape
José Nicasio Armas Montes,NA,Doctor,Loreto,Peru,-4.232472899999999,-74.21793260000001,NA,medscape
Nerissa Armesto,64,Doctor,New York,United States,40.6781784,-73.9441579,NA,medscape
Ana Arreaga,NA,Nurse,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Rubén Arreola,NA,Other,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Dragoslav Arsic,71,Doctor,Varvarin,Serbia,43.7217636,21.3563894,NA,medscape
Ibrahim Arslan,55,Other,İstanbul,Turkey,41.0082376,28.9783589,NA,medscape
Braulio Arteaga,NA,Doctor,Caracas,Venezuela,10.4805937,-66.90360629999999,NA,medscape
Trinidad Arteaga,NA,Retired,Morelos,Mexico,18.6813049,-99.1013498,NA,medscape
Ricardo Arteaga Mora,51,Other Medical,Quito,Ecuador,-0.1806532,-78.4678382,NA,medscape
Nina Nikolayevna Artemyeva,83,Doctor,Saint Petersburg,Russia,59.9310584,30.3609096,NA,medscape
Porfirio Arvizu Acosta,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Yusuf Aryobi,48,Doctor,Kabul,Afghanistan,34.5553494,69.207486,NA,medscape
Yaw Asante,NA,Nurse,New York,United States,40.817374,-73.9240962,NA,medscape
Lois Ashcraft-Merrell,57,Nurse,Pine Bluff,United States,34.2284312,-92.00319549999999,NA,medscape
Hassan Ashish,NA,Doctor,Al Hudaydah,Yemen,14.7909118,42.9708838,NA,medscape
Malik Ashtar,50,Nurse,Gilgit,Pakistan,35.881911,74.4642861,NA,medscape
Yamil Abou Assali,60,Other Medical,Barinas,Venezuela,8.6231498,-70.2371045,NA,medscape
Samir Assi Mouselli,71,Retired,Ciudad Real,Spain,38.9848295,-3.927377799999999,NA,medscape
Bernard Atta,61,Nurse,Orient,United States,39.8056728,-83.1521693,NA,medscape
Adalid Humberto Ávila Argueta,NA,Doctor,El Socorro,Honduras,14.6408102,-87.921223,NA,medscape
Violeta Ávila Giler,59,Doctor,Manta,Ecuador,-0.9676533,-80.7089101,NA,medscape
Elena Tzesangari Avilés Reyes,43,Doctor,Michoacán,Mexico,19.5665192,-101.7068294,NA,medscape
Luchezar Avramov,NA,Doctor,Radilovo,Bulgaria,42.0804243,24.3082868,NA,medscape
Madhvi Aya,61,Doctor,New York,United States,40.6781784,-73.9441579,NA,medscape
Fayez Khalid Ayache,77,Doctor,Clacton-on-Sea,United Kingdom,51.789534,1.153035,NA,medscape
Flor Ayohua Tezoco,NA,Nurse,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Saeid Azizi,NA,Doctor,Zabol,Iran,31.032367700000002,61.4902483,NA,medscape
Ramin Azizifar,NA,Nurse,Tehran,Iran,35.6891975,51.3889736,NA,medscape
Luis Daniel Azuaje,NA,Doctor,Sucre,Venezuela,10.4055886,-63.297505,NA,medscape
Samad Babazadeh,NA,Doctor,Babol,Iran,36.5386629,52.6764543,NA,medscape
Abdel Wahab Babiker,70,Doctor,Scarborough,United Kingdom,54.283113,-0.399752,NA,medscape
Israel Bactol,34,Doctor,Metro Manila,Philippines,14.6090537,121.0222565,NA,medscape
José Gilberto Báez Rangel,NA,Doctor,Guanajuato,Mexico,21.0190145,-101.2573586,NA,medscape
Karen Hill Bagley,67,Nurse,Lynchburg,United States,37.4137536,-79.14224639999999,NA,medscape
Abidin Bahrainwala,86,Doctor,Mumbai,India,19.0759837,72.8776559,NA,medscape
Diane Wilson Bahun,45,Nurse,Paris,France,48.856614,2.3522219,NA,medscape
Earl Bailey,45,Nurse,Florida,United States,26.190096,-80.365865,NA,medscape
Mohammad Bakhshalizadeh,NA,Doctor,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Ayla Balac,NA,Nurse,İstanbul,Turkey,41.0082376,28.9783589,NA,medscape
Cristhian Raúl Balladares Holguin,NA,Doctor,Santiago Metropolitan Region,Chile,-33.4488897,-70.6692655,NA,medscape
Kimberly Ballestero Azofeifa,36,Other,San José,Costa Rica,9.9280694,-84.0907246,NA,medscape
Nicanor Baltazar,60,Nurse,New York,United States,40.7674987,-73.833079,NA,medscape
Héctor Baltazar Hernández,NA,Doctor,Intibuca,Honduras,14.3197687,-88.16328999999999,NA,medscape
Celia Yap Banago,65,Nurse,Kansas City,United States,39.0997265,-94.5785667,NA,medscape
Marsha Bantle,65,Nurse,Newburgh,United States,37.9444882,-87.4052865,NA,medscape
Rebeca Baque,NA,Nurse,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Julio César Baquerizo Plúas,51,Other,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Carlos Alberto Barahona Gálvez,NA,Doctor,Zacatecoluca,El Salvador,13.5122393,-88.8694951,NA,medscape
Emma Altagracia Barba Demorizi,NA,Retired,San Francisco de Macoris,Dominican Republic,19.2844455,-70.2417859,NA,medscape
Catalin Barbulescu,65,Doctor,Bucharest,Romania,44.4267674,26.1025384,NA,medscape
Glenn Barquet,50,Doctor,Miami,United States,25.7616798,-80.1917902,NA,medscape
Manuel Barragan,63,Doctor,Córdoba,Spain,37.8881751,-4.7793835,NA,medscape
Miguel Barragán Nocua,NA,Doctor,Bogota,Colombia,4.710988599999999,-74.072092,NA,medscape
Juan De La Cruz Barreno Quezada,59,Doctor,Falcón,Venezuela,11.1810674,-69.8597406,NA,medscape
Jesús Barrera Jiménez,52,Nurse,Planes de Renderos,El Salvador,13.6378448,-89.1872631,NA,medscape
José Manuel Barrera Mojica,NA,Doctor,Oaxaca,Mexico,17.0731842,-96.7265889,NA,medscape
Mariano Barrios,35,Doctor,Trinidad,Bolivia,-14.8321487,-64.9019015,NA,medscape
Douglas Barroso,NA,Doctor,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
Jenni Claire Bartolome,45,Nurse,Emerson,United States,40.976209,-74.0262505,NA,medscape
Lyubov Alexandrovna Balashevich,73,Doctor,Lyantor,Russia,61.6218907,72.1547791,NA,medscape
Alex Bass,53,Doctor,New York,United States,40.6781784,-73.9441579,NA,medscape
Doug Bass,64,Other Medical,New York,United States,40.769713,-73.987309,NA,medscape
Daniel Basualdo,42,Other Medical,Córdoba,Argentina,-31.42008329999999,-64.1887761,NA,medscape
"Jorge ""Tibu"" Basurto",NA,Other,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Don Batayola,41,Other Medical,New Jersey,United States,40.0583238,-74.4056612,NA,medscape
Leonel Rafael Batista Hierrezuelo,28,Other Medical,Miranda,Venezuela,10.2509303,-66.4271499,NA,medscape
Jeffrey Baumbach,57,Doctor,Stockton,United States,37.9577016,-121.2907796,NA,medscape
"Cenover Nicandro ""Nicko"" Bautista",33,Doctor,Manila,Philippines,14.5995124,120.9842195,NA,medscape
Kamran Bayat,NA,Other Medical,Tehran,Iran,35.6891975,51.3889736,NA,medscape
Valery Bayshtok,74,Doctor,New York,United States,40.72557219999999,-73.8624893,NA,medscape
Brian Beattie,57,Nurse,Ontario,Canada,51.253775,-85.323214,NA,medscape
José Raimundo Becerra Abreu,52,Doctor,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
Elene Becerra Rodríguez,NA,Nurse,Hidalgo,Mexico,20.0910963,-98.7623874,NA,medscape
Edward Becote,51,Other,New York,United States,40.6781784,-73.9441579,NA,medscape
Hooshang Behroozi,92,Doctor,New York,United States,40.7129914,-73.98770329999999,NA,medscape
Niloofar Esmail Beigi,34,Doctor,Tehran,Iran,35.6891975,51.3889736,NA,medscape
Anusheh Beikian,NA,Doctor,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Fina Belenguer,59,Nurse,Valencia,Spain,39.4699075,-0.3762881,NA,medscape
Pedro Pablo Bellido Tellez,NA,Doctor,Callao Region,Peru,-12.0463731,-77.042754,NA,medscape
Jorge Bello,64,Doctor,Santa Fe,Argentina,-31.6106578,-60.697294,NA,medscape
"Martín ""El Negro"" Belman",NA,Doctor,Guanajuato,Mexico,21.0190145,-101.2573586,NA,medscape
Roberto Belmares Macías,NA,Retired,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Hugo Eleuterio Beltrán Rosas,65,Doctor,Chihuahua,Mexico,28.6329957,-106.0691004,NA,medscape
Jorge Luis Ben,NA,Doctor,San Nicolás de los Arroyos,Argentina,-33.3334669,-60.2110494,NA,medscape
Waymer Arnulfo Benites Cerna,66,Doctor,Callao Region,Peru,-12.0463731,-77.042754,NA,medscape
Enrique Emilio Benites Quintero,70,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Andres Benitez,NA,Other,Teaneck,United States,40.8932469,-74.0116536,NA,medscape
Karla Benítez Bacilio,NA,Nurse,Baja California,Mexico,30.8406338,-115.2837585,NA,medscape
Mario Benítez,NA,Other Medical,San Pedro Sula,Honduras,15.5038827,-88.01386190000001,NA,medscape
"Petronella ""Aunty Nellie"" Benjamin",62,Nurse,Cape Town,South Africa,-33.9248685,18.4240553,NA,medscape
Didier Benovici,68,Doctor,Paris,France,48.856614,2.3522219,NA,medscape
Roxanne Bent,48,Nurse,New York,United States,40.6781784,-73.9441579,NA,medscape
Noureddine Benyhya,NA,Doctor,Meknes,Morocco,33.8730164,-5.5407299,NA,medscape
Theresa E. Berbano,59,Nurse,New York,United States,40.8447819,-73.8648268,NA,medscape
Angeline Bernadel,52,Nurse,Milford,United States,41.2306979,-73.064036,NA,medscape
Luis Felipe Bernett,73,Doctor,NA,Panama,8.537981,-80.782127,NA,medscape
Rosa Berríos,67,Doctor,Caracas,Venezuela,10.4805937,-66.90360629999999,NA,medscape
María Leonor Betancourt Delgado,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Idris Bey,60,Other Medical,New York,United States,40.7127753,-74.0059728,NA,medscape
Tanveer Akram Bhatti,NA,Doctor,Sargodha,Pakistan,32.0739787,72.6860696,NA,medscape
Chittaranjan Bhave,56,Doctor,Mumbai,India,19.0759837,72.8776559,NA,medscape
Diego Bianco,47,Other Medical,Lombardy,Italy,45.47906709999999,9.8452433,NA,medscape
Enrique Antonio Blanco,51,Other Medical,San Miguel,El Salvador,13.4792922,-88.1779182,NA,medscape
Terry Billingham,NA,Retired,Clinton,United States,40.6367682,-74.90988999999999,NA,medscape
Younis Anis Bin Taleb,NA,Doctor,Aden,Yemen,12.7854969,45.0186548,NA,medscape
Barbara Birchenough,65,Nurse,Belleville,United States,40.7936744,-74.15004689999999,NA,medscape
Billy Birmingham,69,Other Medical,Kansas City,United States,39.0997265,-94.5785667,NA,medscape
Luis Bitar Mahuad,82,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Eduardo Bizarro,NA,Doctor,Anzoategui,Venezuela,8.5913073,-63.95861110000001,NA,medscape
"William B. ""Brad"" Blackman",56,Other Medical,Philadelphia,United States,39.9525839,-75.1652215,NA,medscape
Gresmor Blackman-Douglas,58,Other Medical,New York,United States,40.6781784,-73.9441579,NA,medscape
Luis Miguel Boada Cedeño,70,Doctor,Sucre,Venezuela,10.4055886,-63.297505,NA,medscape
Harry Owusu Boateng,42,Doctor,Kumasi,Ghana,6.6666004,-1.6162709,NA,medscape
Jean-Marie Boegle,66,Doctor,Mulhouse,France,47.750839,7.335888,NA,medscape
Julieta Bogado,43,Nurse,Buenos Aires,Argentina,-34.6036844,-58.3815591,NA,medscape
Csaba Bóhak,41,Other,Tatabánya,Hungary,47.569246,18.404818,NA,medscape
